pid,nameAttested,nameLanguage,nameTransliterated
511305,['unknown'],['unknown'],['Libyssa']
511306,['unknown'],['unknown'],['Libyssos']
511307,['unknown'],['unknown'],['Limnai']
511308,['unknown'],['unknown'],['Linon']
511313,['unknown'],['unknown'],['Melaina Pr.']
511314,['unknown'],['unknown'],['Melanos Pr.']
511315,['unknown'],['unknown'],['Melantias']
511316,['unknown'],['unknown'],['Memnonos Kome']
511318,['unknown'],['unknown'],['Miletopolis']
511320,['unknown'],['unknown'],['Miletouteichos']
511321,['unknown'],['unknown'],['Mocasura']
511322,['unknown'],['unknown'],['Morzapena']
511323,['unknown'],['unknown'],['Mossynea']
511325,['Μυγδονία'],['grc'],['Mygdonia']
511328,['unknown'],['unknown'],['Mysia']
511331,['unknown'],['unknown'],['Narco']
511334,['Νέον τεῖχος'],['grc'],['Neon Teichos']
511335,['unknown'],['unknown'],['Nerola']
511341,['unknown'],['unknown'],['Oka']
511343,['unknown'],['unknown'],['Olympus M.']
511344,['unknown'],['unknown'],['Ontoraita']
511345,['unknown'],['unknown'],['Ophiussa']
511346,['unknown'],['unknown'],"['Optatianai', 'Mon.']"
511348,['unknown'],['unknown'],['Otroia']
511353,['unknown'],['unknown'],['Parimouthos']
511355,['unknown'],['unknown'],['Peirossos M.']
511358,['unknown'],['unknown'],['Petrozetoi']
511360,['unknown'],['unknown'],['Philia Pr.']
511362,['unknown'],['unknown'],['Phrygia']
511363,['unknown'],['grc'],['Phrygia Epiktetos']
511364,['unknown'],['unknown'],['Pithekas']
511366,['unknown'],['unknown'],['Plakia']
511367,['unknown'],['unknown'],['Ploketta']
511368,['unknown'],['unknown'],['Poimanenon']
511371,['unknown'],['unknown'],['Potamoi']
511373,['unknown'],['unknown'],['Pratomysia']
511374,['unknown'],['unknown'],['Prepa']
511375,['unknown'],['unknown'],['Priapus']
511376,['unknown'],['unknown'],['Prindea']
511378,['unknown'],['unknown'],['Proconnesus']
511379,['unknown'],['unknown'],['Proconnesus']
511380,['unknown'],['unknown'],['Pronnaea']
511383,['unknown'],['unknown'],['Protunica']
511386,['unknown'],['unknown'],['Psarela']
511387,['unknown'],['unknown'],['Psillion']
511389,['unknown'],['unknown'],['Pylai']
511391,['unknown'],['unknown'],['Pythopolis']
511396,['unknown'],['unknown'],['Rhebas']
511397,['unknown'],['unknown'],['Rhegion']
511398,['unknown'],['unknown'],['Rhesos']
511400,['unknown'],['unknown'],['Rhoe']
511401,['unknown'],['unknown'],['Rhyndakos']
511404,['unknown'],['unknown'],['Salmydessos']
511405,['unknown'],['unknown'],['Salmydessos']
511407,['unknown'],['unknown'],['Sangaros']
511409,['unknown'],['unknown'],['Sarkotyle']
511412,['unknown'],['unknown'],['Schinae']
511413,['unknown'],['unknown'],['Scylla']
511417,['unknown'],['unknown'],['Sirkanos']
511419,['unknown'],['unknown'],['Skylake']
511420,['unknown'],['unknown'],['Soka']
511421,['unknown'],['unknown'],['Soloeis']
511422,['unknown'],['unknown'],['[Sophon] M.']
511423,['unknown'],['unknown'],['Strobilos']
511425,['unknown'],['unknown'],['Syllanta']
511428,['unknown'],['unknown'],['Tarpodizo']
511430,['unknown'],['unknown'],['Tataula']
511431,['unknown'],['unknown'],['Tattaios']
511432,['unknown'],['unknown'],['Tearos']
511433,['unknown'],['unknown'],['Tenba']
511434,['unknown'],['unknown'],['Terbos']
511436,['unknown'],['unknown'],['Tetrakomia']
511437,['unknown'],['unknown'],['Thateso']
511440,['unknown'],['unknown'],['Thrakia Kome']
511441,['unknown'],['unknown'],['Thynoi']
511442,['unknown'],['unknown'],['Thynoi']
511443,['unknown'],['unknown'],['Thynias']
511444,['unknown'],['unknown'],['Thynias']
511445,['unknown'],['unknown'],['Thynias Pr.']
511448,['unknown'],['unknown'],['Tipaso']
511451,['unknown'],['unknown'],['Trikomia']
511452,['unknown'],['unknown'],['Triton']
511455,['unknown'],['unknown'],['Tziorikellos']
511458,['unknown'],['unknown'],['Urisio']
511461,['Ζελείᾳ'],['grc'],['Zeleia']
515667,['Phinopolis'],['la'],['Phinopolis']
515669,['unknown'],['unknown'],['Tereia']
520953,['unknown'],['unknown'],['Aietou Rhynkos Pr.']
520954,['unknown'],['unknown'],['Akoimeton Mon.']
520955,['unknown'],['unknown'],['Akritas Pr.']
520956,['unknown'],['unknown'],['Ammoi']
520957,['unknown'],['unknown'],['Amykos']
520959,['unknown'],['unknown'],['Ancyreum Pr.']
520960,['unknown'],['unknown'],['[Antigoneia]']
520961,['unknown'],['unknown'],['Aphrodysium']
520962,['unknown'],['unknown'],['Archeion']
520963,['unknown'],['unknown'],['Argyronion']
520968,['unknown'],['unknown'],['Bacca Collis']
520970,['unknown'],['unknown'],['Barbyses']
520972,['unknown'],['unknown'],['Bathys']
520974,['unknown'],['unknown'],['Blachernai']
520976,['unknown'],['unknown'],['Boradion']
520979,['unknown'],['unknown'],['Bosporios Pr.']
520980,['unknown'],['unknown'],['Boukolos Collis']
520984,['unknown'],['unknown'],['Bythias']
520985,['unknown'],['unknown'],['Byzantium']
520987,['unknown'],['unknown'],['Chalcaea']
520988,['unknown'],['unknown'],['Chalcedon']
520989,['unknown'],['unknown'],['Chalkedon']
520991,['unknown'],['unknown'],['Chelae']
520994,['unknown'],['unknown'],['Chrysokeras']
520995,['unknown'],['unknown'],['Chrysopolis']
520996,['unknown'],['unknown'],['Chrysorrhoas']
520999,['unknown'],['unknown'],['Coracium Pr.']
521004,['unknown'],['unknown'],['Dekaton']
521007,['unknown'],['unknown'],['Dikaia Petra']
521008,['unknown'],['unknown'],['Drepanon Pr.']
521011,['unknown'],['unknown'],['Echaia Pr.']
521012,['unknown'],['unknown'],['Eirenaion']
521018,['unknown'],['unknown'],['Eutropiou']
521020,['unknown'],['unknown'],['Gomon']
521021,['unknown'],['unknown'],['Gronychia']
521023,['unknown'],['unknown'],['Gypopolis Collis']
521025,['unknown'],['unknown'],['Hapsasieion']
521026,['unknown'],['unknown'],['Hebdomon']
521027,['unknown'],['unknown'],"['T.', 'Hecate']"
521028,['unknown'],['unknown'],['Henaton']
521030,['unknown'],['unknown'],['Herculis Kline']
521031,['unknown'],['unknown'],['Hestiai Pr.']
521036,['unknown'],['unknown'],['Himeros']
521037,['unknown'],['unknown'],['Himeros']
521039,['unknown'],['unknown'],['Hyris Pr.']
521046,['unknown'],['unknown'],"['T.', 'Iuppiter Urius']"
521050,['unknown'],['unknown'],['Kalamos']
521051,['unknown'],['unknown'],['Kalos Agros']
521052,['unknown'],['unknown'],['Kampos']
521056,['unknown'],['unknown'],['Kepos']
521057,['unknown'],['unknown'],['Keras']
521058,['unknown'],['unknown'],['Kikonion']
521059,['unknown'],['unknown'],['Kleides kai Kleithra tou Pontou']
521060,['unknown'],['unknown'],['Kolone Pr.']
521061,['unknown'],['unknown'],['Kosilaos']
521062,['unknown'],['unknown'],"['Mon.', 'Kosmas kai Damianos']"
521064,['unknown'],['unknown'],['Kyaneai']
521066,['unknown'],['unknown'],['Kydaros']
521068,['unknown'],['unknown'],['Kyparodes']
521071,['unknown'],['unknown'],['Lembos Pr.']
521073,['unknown'],['unknown'],['Licnias']
521076,['unknown'],['unknown'],['[Lykos]']
521079,['unknown'],['unknown'],['Meizon']
521081,['unknown'],['unknown'],['Mellakokopsas Pr.']
521082,['unknown'],['unknown'],['Metanoia Mon.']
521083,['unknown'],['unknown'],['Metopon']
521085,['unknown'],['unknown'],['Milton Pr.']
521086,['unknown'],['unknown'],['Mochadion']
521087,['unknown'],['unknown'],['Moukaporis']
521090,['unknown'],['unknown'],['Myrileion']
521092,['unknown'],['unknown'],['Nassete']
521093,['unknown'],['unknown'],['Nausikleia']
521094,['unknown'],['unknown'],['Nausimachion']
521100,['unknown'],['unknown'],['Oxeia M.']
521101,['unknown'],['unknown'],['Oxyrrous Pr.']
521104,['unknown'],['unknown'],['Palodes']
521105,['unknown'],['unknown'],['Panium Pr.']
521106,['unknown'],['unknown'],['Panteichion']
521107,['unknown'],['unknown'],['Panteichion Litus']
521108,['unknown'],['unknown'],['Parabolos']
521109,['unknown'],['unknown'],['Paulines']
521111,['unknown'],['unknown'],['Pege']
521112,['unknown'],['unknown'],['Pentekontorikon']
521115,['unknown'],['unknown'],['Phidalia Petra']
521118,['unknown'],['unknown'],['Philippi Pons']
521120,['unknown'],['unknown'],['Phosphorus']
521122,['unknown'],['unknown'],['Pitheci Portus']
521124,['unknown'],['unknown'],['Poleatikon']
521126,['unknown'],['unknown'],['Potamonion']
521131,['unknown'],['unknown'],['Prota']
521132,['unknown'],['unknown'],['Pyrrhias Cyon']
521134,['unknown'],['unknown'],['Rhebas']
521135,['unknown'],['unknown'],['Rhebas']
521136,['unknown'],['unknown'],['Rhesion']
521137,['unknown'],['unknown'],['Rhodion Periboloi']
521139,['unknown'],['unknown'],['Rhoizousai Akrai']
521140,['unknown'],['unknown'],['Rhoodes Pr.']
521145,['unknown'],['unknown'],['S. Mamas']
521146,['unknown'],['unknown'],['S. Theodora']
521148,['unknown'],['unknown'],['Saronicum Pr.']
521151,['unknown'],['unknown'],['Semystra']
521152,['unknown'],['unknown'],['Senex Marinus']
521153,['unknown'],['unknown'],['Simas Pr.']
521155,['unknown'],['unknown'],['Sophianai']
521165,['unknown'],['unknown'],['Thermastis Petra']
523217,['unknown'],['unknown'],['Auleon Sinus']
523218,['unknown'],['unknown'],['Bathykolpos']
523220,['unknown'],['unknown'],['Eudios Kalos']
523221,['unknown'],['unknown'],['Gynaikon Limen']
523222,['unknown'],['unknown'],['Katangeion Sinus']
523223,['unknown'],['unknown'],['Lykadion Sinus']
523224,['unknown'],['unknown'],['Lykiou Limen']
523225,['unknown'],['unknown'],['Melias Sinus']
523226,['unknown'],['unknown'],['Neorion']
523228,['unknown'],['unknown'],['Phryxou Limen']
523229,['unknown'],['unknown'],['Sapra Thalassa']
523230,['unknown'],['unknown'],['Scletrinas Sinus']
523972,['unknown'],['unknown'],['Aianteion']
523974,['unknown'],['unknown'],['Auletes']
523975,['unknown'],['unknown'],['Bolos']
523976,['unknown'],['unknown'],['Choiragria']
